Overall Qual,Total Bsmt SF,1st Flr SF,Gr Liv Area,Garage Cars,Garage Area,SalePrice
6,1080.0,1656,1656,2.0,528.0,215000
5,882.0,896,896,1.0,730.0,105000
6,1329.0,1329,1329,1.0,312.0,172000
7,2110.0,2110,2110,2.0,522.0,244000
5,928.0,928,1629,2.0,482.0,189900
6,926.0,926,1604,2.0,470.0,195500
8,1338.0,1338,1338,2.0,582.0,213500
8,1280.0,1280,1280,2.0,506.0,191500
8,1595.0,1616,1616,2.0,608.0,236500
7,994.0,1028,1804,2.0,442.0,189000
6,763.0,763,1655,2.0,440.0,175900
6,1168.0,1187,1187,2.0,420.0,185000
6,789.0,789,1465,2.0,393.0,180400
7,1300.0,1341,1341,2.0,506.0,171500
8,1488.0,1502,1502,2.0,528.0,212000
8,1650.0,1690,3279,3.0,841.0,538000
8,559.0,1080,1752,2.0,492.0,164000
9,1856.0,1856,1856,3.0,834.0,394432
4,864.0,864,864,2.0,400.0,141000
6,1542.0,2073,2073,2.0,500.0,210000
6,1844.0,1844,1844,2.0,546.0,190000
7,1053.0,1173,1173,2.0,528.0,170000
7,814.0,814,1674,2.0,663.0,216000
6,1004.0,1004,1004,2.0,480.0,149000
5,1078.0,1078,1078,2.0,500.0,149900
5,1056.0,1056,1056,1.0,304.0,142000
4,882.0,882,882,2.0,525.0,126000
4,864.0,864,864,0.0,0.0,115000
7,1405.0,1337,1337,2.0,511.0,184000
6,483.0,483,987,1.0,264.0,96000
5,525.0,525,1092,1.0,320.0,105500
6,525.0,525,1092,1.0,264.0,88000
6,1069.0,1069,1069,2.0,440.0,127500
6,855.0,855,1456,2.0,440.0,149900
7,836.0,836,836,1.0,308.0,120000
6,855.0,855,1456,2.0,440.0,146000
9,1590.0,1627,2334,3.0,751.0,376162
8,1704.0,1704,1704,3.0,772.0,306000
9,1930.0,1940,1940,3.0,606.0,395192
8,1544.0,1544,1544,3.0,868.0,290941
7,1541.0,1541,1541,2.0,532.0,220000
9,1698.0,1698,1698,3.0,730.0,275000
8,1822.0,1822,1822,3.0,678.0,259000
7,1517.0,1535,1535,2.0,532.0,214000
9,2330.0,2364,2364,3.0,820.0,611657
7,1358.0,1358,1358,2.0,484.0,224000
9,2846.0,2696,2696,3.0,958.0,500000
8,1671.0,1687,2250,3.0,756.0,320000
9,1752.0,1752,1752,2.0,576.0,319900
8,1370.0,1370,1370,2.0,484.0,205000
7,764.0,764,1626,2.0,474.0,175500
6,1324.0,1324,1324,2.0,430.0,199500
7,1145.0,1145,1145,2.0,437.0,160000
8,1256.0,1269,1269,2.0,430.0,192000
7,384.0,744,1374,2.0,400.0,184500
6,860.0,860,1960,2.0,440.0,216500
7,847.0,847,1733,2.0,433.0,185088
7,384.0,774,1430,2.0,400.0,180000
7,884.0,884,2035,2.0,434.0,222500
9,1393.0,1422,2599,3.0,779.0,333168
8,1629.0,1645,2475,3.0,962.0,355000
7,1720.0,1720,1720,2.0,527.0,260400
8,1463.0,1500,2622,2.0,712.0,325000
8,1152.0,1164,2270,3.0,671.0,290000
7,1195.0,1195,1839,2.0,486.0,221000
8,2033.0,2053,3238,3.0,666.0,410000
8,1595.0,1595,1595,3.0,880.0,221500
7,1218.0,1218,1218,2.0,676.0,204500
7,756.0,764,1547,2.0,614.0,215200
8,1566.0,1566,1566,2.0,750.0,262500
7,991.0,991,1947,2.0,678.0,254900
6,1468.0,1468,1468,2.0,528.0,271500
7,956.0,956,2084,2.0,618.0,233000
7,831.0,831,1659,2.0,484.0,181000
7,948.0,1222,2110,2.0,463.0,205000
6,923.0,923,923,1.0,264.0,143000
6,1055.0,1055,1845,2.0,462.0,189000
6,918.0,918,918,1.0,264.0,99500
6,744.0,752,752,1.0,264.0,125000
7,996.0,1014,1744,2.0,457.0,194500
6,1040.0,1097,1097,2.0,480.0,152000
6,650.0,888,1564,2.0,476.0,171000
5,816.0,1012,1012,1.0,429.0,67500
6,0.0,1318,1902,2.0,539.0,112000
5,1109.0,1155,1155,2.0,576.0,148000
5,894.0,894,894,1.0,336.0,138500
5,882.0,900,900,1.0,280.0,122000
5,1040.0,1040,1040,1.0,308.0,133000
5,1040.0,1040,1040,1.0,260.0,127000
6,1208.0,1494,1494,2.0,461.0,169000
7,750.0,1061,1923,2.0,564.0,190000
8,1231.0,1251,2349,3.0,762.0,362500
8,1390.0,1402,2225,3.0,713.0,285000
7,1488.0,1488,1488,2.0,506.0,260000
7,840.0,840,1680,2.0,588.0,190000
7,600.0,600,1200,2.0,480.0,155000
7,600.0,600,1200,2.0,480.0,151000
7,600.0,600,1200,2.0,480.0,149500
6,600.0,600,1236,2.0,480.0,152000
7,1470.0,1478,1478,2.0,484.0,222000
6,756.0,769,1573,2.0,440.0,177500
6,756.0,756,1512,2.0,440.0,177000
7,696.0,696,1416,2.0,484.0,155000
7,530.0,530,1080,2.0,496.0,147110
8,1642.0,1418,1418,3.0,852.0,267916
8,975.0,975,1848,2.0,592.0,254000
8,728.0,788,788,2.0,484.0,155000
8,1226.0,1226,1226,2.0,484.0,206000
6,725.0,725,1479,2.0,475.0,130500
7,1492.0,1492,1492,2.0,596.0,230000
6,1829.0,1829,1829,2.0,535.0,218500
6,1280.0,1280,2495,2.0,660.0,243500
6,1610.0,1610,1610,2.0,480.0,205000
6,1224.0,1287,1891,2.0,678.0,212500
7,980.0,980,1714,2.0,496.0,196500
6,1161.0,1381,1381,2.0,676.0,197500
6,715.0,930,1645,2.0,441.0,171000
5,1232.0,1232,1232,2.0,490.0,142250
6,1328.0,1328,1328,2.0,528.0,143000
4,950.0,1225,1225,0.0,0.0,128950
5,1209.0,1209,1209,2.0,504.0,159000
5,1510.0,1510,1510,2.0,517.0,178900
6,533.0,1131,1775,2.0,480.0,136300
5,1152.0,1152,1152,2.0,484.0,180500
6,936.0,1054,1054,2.0,480.0,137500
5,1728.0,1728,1728,0.0,0.0,84900
5,1078.0,1078,1078,1.0,240.0,142125
5,1140.0,1929,2461,2.0,400.0,197600
6,782.0,1019,1556,2.0,470.0,172500
5,858.0,858,858,0.0,0.0,116500
3,728.0,1306,1306,0.0,0.0,76500
5,1056.0,1063,1063,1.0,280.0,128000
6,1156.0,1520,1520,1.0,364.0,153000
5,1268.0,1268,1268,1.0,244.0,132000
6,1080.0,1128,1128,1.0,315.0,178000
5,1105.0,1105,2274,2.0,480.0,154300
7,1947.0,2207,2207,2.0,576.0,180000
6,1517.0,1888,1888,2.0,578.0,190000
5,1604.0,1604,1604,2.0,576.0,135000
7,1480.0,1480,1480,2.0,620.0,214000
5,1143.0,1143,1143,1.0,308.0,136000
5,1398.0,1700,1700,2.0,447.0,165500
5,1314.0,1314,1314,1.0,294.0,145000
6,1194.0,1194,1194,1.0,312.0,148000
5,1188.0,1188,1188,2.0,531.0,142000
5,1268.0,1264,1264,2.0,461.0,167500
5,1206.0,1206,1206,1.0,312.0,108538
6,1244.0,1580,1580,2.0,440.0,159500
4,832.0,832,1337,1.0,263.0,108000
5,864.0,1064,1064,1.0,318.0,135000
5,972.0,972,972,1.0,305.0,122500
5,988.0,988,988,1.0,264.0,119000
5,1057.0,1057,1057,1.0,246.0,109000
4,576.0,985,985,2.0,676.0,105000
5,0.0,827,827,1.0,392.0,107500
5,1086.0,1086,1086,2.0,490.0,144900
5,936.0,936,936,1.0,308.0,129000
6,912.0,912,1458,1.0,330.0,97500
6,1056.0,1056,1056,2.0,576.0,144000
5,1063.0,1287,1287,2.0,576.0,162000
7,710.0,1898,2978,2.0,564.0,242000
6,816.0,816,1224,1.0,280.0,132000
5,1246.0,1246,1246,1.0,305.0,154000
5,910.0,910,1385,2.0,720.0,166000
5,900.0,900,900,2.0,576.0,134800
6,1116.0,1116,1116,2.0,440.0,160000
5,1175.0,1175,1175,2.0,484.0,148000
6,1395.0,1395,1395,2.0,440.0,192000
6,756.0,1051,1839,2.0,442.0,155000
4,709.0,1157,1844,1.0,240.0,80400
4,576.0,792,1140,0.0,0.0,96500
5,936.0,936,936,0.0,0.0,109500
5,1008.0,1028,1028,2.0,360.0,115000
5,1347.0,1347,1347,2.0,551.0,143000
3,840.0,840,1605,1.0,379.0,107400
4,747.0,747,747,1.0,220.0,80000
5,788.0,804,804,1.0,240.0,119000
5,926.0,926,1316,2.0,484.0,130000
6,827.0,827,1251,1.0,240.0,119000
5,1027.0,1027,1633,1.0,240.0,129000
5,1008.0,1060,1245,1.0,315.0,100000
2,678.0,832,832,2.0,780.0,12789
6,624.0,720,720,2.0,484.0,105900
8,930.0,930,1566,1.0,288.0,150000
5,686.0,966,1652,1.0,416.0,139000
8,346.0,1157,2268,2.0,624.0,240000
5,840.0,1128,2256,0.0,0.0,76500
6,912.0,1236,1236,2.0,923.0,149700
